POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
440-22430,-,0,Grey,SS,N,N,SFMTA,ON,0,2243,GEARY BLVD,6044101,Area 3, ,"(37.78296, -122.44112)"
490-08130,-,0,Green,SS,N,N,SFMTA,ON,0,813,IRVING ST,7286000,Area 3, ,"(37.76394, -122.46672)"
668-09940,-,0,Grey,SS,N,N,SFMTA,ON,0,994,SHOTWELL ST,11841000,Area 3, ,"(37.75265, -122.41524)"
847-01590,-,0,Grey,SS,Y,Y,PORT,ON,0,159,JEFFERSON ST,7456000,Port 1, ,"(37.80819, -122.41553)"
336-07180,-,0,Grey,SS,N,N,SFMTA,ON,0,718,BUSH ST,3437000,Area 1, ,"(37.79015, -122.4094)"
440-40250,-,0,Grey,SS,N,Y,SFMTA,ON,0,4025,GEARY BLVD,6060101,Area 3, ,"(37.78094, -122.46303)"
614-12040,-,0,Green,SS,N,N,SFMTA,ON,0,1204,POST ST,10641000,Area 3, ,"(37.78664, -122.42187)"
681-06290,-,0,Grey,SS,N,N,SFMTA,ON,0,629,TAYLOR ST,12436000,Area 1, ,"(37.78866, -122.41193)"
502-05250,-,0,Grey,SS,N,N,SFMTA,ON,0,525,JONES ST,7570000,Area 2, ,"(37.78648, -122.41319)"
490-08250,-,0,Grey,SS,N,N,SFMTA,ON,0,825,IRVING ST,7286000,Area 3, ,"(37.76394, -122.46694)"
568-45040,-,0,Green,SS,N,N,SFMTA,ON,0,4504,MISSION ST,9162000,Area 3, ,"(37.72564, -122.43419)"
568-28370,-,0,Grey,SS,N,N,SFMTA,ON,0,2837,MISSION ST,9126000,Area 3, ,"(37.75113, -122.41824)"
568-31690,-,0,Grey,SS,N,N,SFMTA,ON,0,3169,MISSION ST,9130000,Area 3, ,"(37.74623, -122.41936)"
324-11110,-,0,Grey,SS,N,N,SFMTA,ON,0,1111,BATTERY ST,2767000,Area 3, ,"(37.80175, -122.40176)"
700-03030,-,0,Grey,SS,N,N,SFMTA,ON,0,303,VALENCIA ST,13057001,Area 3, ,"(37.768, -122.42207)"
470-10520,-,0,Grey,SS,N,N,SFMTA,ON,0,1052,HOWARD ST,7045000,Area 2, ,"(37.77887, -122.4084)"
422-06320,-,0,Grey,SS,N,N,SFMTA,ON,0,632,FRONT ST,5872000,Area 2, ,"(37.79759, -122.39955)"
470-11210,-,0,Grey,SS,N,N,SFMTA,ON,0,1121,HOWARD ST,7048000,Area 2, ,"(37.7774, -122.40997)"
568-11810,-,0,Grey,SS,N,N,SFMTA,ON,0,1181,MISSION ST,9102000,Area 2, ,"(37.77777, -122.41263)"
442-00270,-,0,Grey,SS,N,N,SFMTA,ON,0,27,GOLDEN GATE AVE,6259000,Area 2, ,"(37.7821, -122.41145)"
336-08270,-,0,Red,SS,N,N,SFMTA,ON,0,827,BUSH ST,3438000,Area 1, ,"(37.78977, -122.41131)"
472-03270,-,0,Grey,SS,N,N,SFMTA,ON,0,327,HYDE ST,7117000,Area 3, ,"(37.78421, -122.4161)"
612-10100,-,0,Grey,SS,N,N,SFMTA,ON,0,1010,POLK ST,10561000,Area 3, ,"(37.78626, -122.41973)"
441-09200,-,0,Grey,SS,N,N,SFMTA,ON,0,920,GENEVA AVE,6138201,Area 3, ,"(37.71605, -122.44055)"
591-19530,-,0,Grey,SS,N,N,SFMTA,ON,0,1953,OCEAN AVE,9833101,Area 3, ,"(37.72579, -122.46387)"
327-02210,-,0,Grey,SS,N,N,SFMTA,ON,0,221,BROADWAY,3145000,Area 3, ,"(37.7984, -122.4018)"
542-07270,-,0,Green,SS,N,N,SFMTA,ON,0,727,LARKIN ST,8129000,Area 3, ,"(37.78503, -122.41795)"
855-00500,855-00002,50,Grey,MS,Y,N,PORT,ON,0,50,LOMBARD ST,8431000,Port 4, ,"(37.80413, -122.40307)"
111-03910,-,0,Grey,SS,N,N,SFMTA,ON,0,391,11TH AVE,495000,Area 3, ,"(37.7811, -122.46972)"
445-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,GREEN ST,6451000,Area 3, ,"(37.79964, -122.4075)"
360-08120,-,0,Red,SS,N,Y,SFMTA,ON,0,812,CLEMENT ST,4158000,Area 3, ,"(37.78285, -122.46814)"
470-12510,-,0,Grey,SS,N,N,SFMTA,ON,0,1251,HOWARD ST,7051000,Area 2, ,"(37.77524, -122.4127)"
330-09460,-,0,Grey,SS,N,N,SFMTA,ON,0,946,BRANNAN ST,3089000,Area 3, ,"(37.77048, -122.40662)"
327-04390,-,0,Yellow,SS,N,N,SFMTA,ON,0,439,BROADWAY,3150000,Area 3, ,"(37.79798, -122.40515)"
359-16120,-,0,Grey,SS,N,N,SFMTA,ON,0,1612,CLAY ST,4105000,Area 3, ,"(37.7926, -122.41977)"
226-34060,-,0,Grey,SS,N,N,SFMTA,ON,0,3406,26TH ST,1526000,Area 3, ,"(37.74906, -122.41852)"
359-17530,-,0,Grey,SS,N,N,SFMTA,ON,0,1753,CLAY ST,4106000,Area 3, ,"(37.79217, -122.4223)"
443-14200,443-14004,20,Grey,MS,Y,N,SFMTA,ON,0,1420,GOUGH ST,6332000,Area 3, ,"(37.78682, -122.4249)"
360-00050,-,0,Grey,SS,N,Y,SFMTA,ON,0,5,CLEMENT ST,4150000,Area 3, ,"(37.78311, -122.45929)"
691-21190,-,0,Grey,SS,N,Y,SFMTA,ON,0,2119,UNION ST,12871000,Area 3, ,"(37.79715, -122.43448)"
681-01150,-,0,Grey,SS,N,N,SFMTA,ON,0,115,TAYLOR ST,12427000,Area 1, ,"(37.7837, -122.41095)"
327-14430,-,0,Grey,SS,N,N,SFMTA,ON,0,1443,BROADWAY,3169201,Area 3, ,"(37.7959, -122.42144)"
336-11120,-,0,Grey,SS,N,N,SFMTA,ON,0,1112,BUSH ST,3441000,Area 3, ,"(37.78933, -122.41583)"
219-41060,-,0,Grey,SS,N,N,SFMTA,ON,0,4106,19TH ST,985000,Area 3, ,"(37.75931, -122.43527)"
352-04370,-,0,Yellow,SS,N,N,SFMTA,ON,0,437,CASTRO ST,3790000,Area 3, ,"(37.76136, -122.43494)"
440-51190,-,0,Green,SS,N,N,SFMTA,ON,0,5119,GEARY BLVD,6072101,Area 3, ,"(37.78041, -122.47474)"
612-19250,-,0,Grey,SS,N,N,SFMTA,ON,0,1925,POLK ST,10574000,Area 3, ,"(37.79466, -122.42159)"
666-24190,-,0,Grey,SS,N,N,SFMTA,ON,0,2419,SUTTER ST,12343000,Area 3, ,"(37.7851, -122.44063)"
490-08240,-,0,Grey,SS,N,N,SFMTA,ON,0,824,IRVING ST,7286000,Area 3, ,"(37.76408, -122.46716)"
