Stop_ID,Latitude,Longitude
3265,37.74913429,122.4719904
3266,37.742918,122.471416
3267,37.74316667,122.47148
3268,37.741686,122.470838
3269,37.741595,122.4712567
3270,37.73640706,122.4702468
3272,37.75817429,122.4736811
3273,37.75906321,122.4736561
3275,37.75695321,122.4735486
3276,37.75620071,122.4735521
3277,37.7562025,122.4734736
3278,37.75426643,122.4732836
3279,37.75238857,122.4731486
3280,37.75061286,122.4730207
3281,37.7656231,122.4101808
3282,37.76545709,122.4099776
3283,37.76468873,122.4284727
3284,37.76470738,122.4261451
3285,37.76459218,122.4266413
3286,37.76489809,122.4239439
3287,37.76472777,122.4243357
3288,37.76550262,122.413158
3289,37.76538459,122.4132099
3290,37.76579657,122.4037643
3291,37.76513176,122.4195185
3292,37.7650591,122.4193101
3293,37.76500806,122.4198717
3295,37.76579434,122.4079918
3296,37.76567623,122.4075786
3297,37.76578817,122.4052322
3299,37.76517601,122.4158216
3300,37.76498828,122.4217158
3301,37.76489355,122.4221303
3302,37.76601588,122.4048034
3304,37.74705485,122.4738697
3305,37.74677394,122.4738088
3306,37.74524273,122.4737003
3307,37.7617386,122.4476898
3309,37.7618302,122.4466286
3310,37.7617718,122.448974
3312,37.76483458,122.4020565
3313,37.76485086,122.4016963
3314,37.7621425,122.4375331
3317,37.76482389,122.403346
3319,37.76501645,122.3999207
3320,37.76497172,122.3993134
3321,37.76298264,122.3890353
3322,37.76135687,122.4281676
3323,37.76129403,122.4281391
3324,37.76264159,122.397325
3325,37.76090373,122.4354115
3326,37.76090313,122.4347391
3327,37.76029761,122.4434754
3328,37.76024701,122.4435318
3329,37.76074507,122.4373555
3330,37.76146284,122.4263781
3331,37.76142746,122.4258534
3332,37.76074851,122.4381254
3333,37.76160642,122.4240119
3334,37.76158015,122.4235721
3335,37.76055358,122.4410901
3336,37.76055149,122.4407557
3337,37.76291138,122.3908348
3338,37.76187134,122.4196985
3339,37.75977507,122.4444187
3340,37.76106313,122.4326136
3341,37.76103239,122.4329401
3342,37.76282353,122.3935019
3343,37.76276546,122.393238
3344,37.76121746,122.430444
3345,37.76114851,122.4307843
3346,37.76270151,122.3954236
3347,37.76264975,122.3952327
3348,37.76172448,122.4218779
3349,37.7617006,122.4213213
3352,37.72597144,122.4753872
3354,37.73120865,122.475
3355,37.73093549,122.4747605
3356,37.72149697,122.4754061
3357,37.72086891,122.4750091
3359,37.7637436,122.4773308
3360,37.76341722,122.4770813
3361,37.716815,122.47217
3362,37.71805451,122.4732199
3363,37.71734395,122.4730716
3364,37.76151956,122.4768864
3365,37.76145096,122.4771336
3366,37.76012567,122.4767596
3367,37.75997711,122.4769599
3368,37.75781039,122.4765871
3369,37.75777259,122.4768079
3370,37.76518829,122.4772038
3371,37.76517991,122.477441
3372,37.75622745,122.4766921
3373,37.75594179,122.4764592
3374,37.75411453,122.4763216
3375,37.75400549,122.476551
3377,37.73274865,122.4750893
3378,37.73208274,122.4748433
3379,37.75275956,122.4762269
3380,37.75211621,122.4764139
3381,37.7503391,122.4760609
3382,37.7502079,122.4762813
3383,37.74850089,122.4759264
3384,37.74837051,122.4761586
3385,37.714735,122.47022
3387,37.71446,122.47
3388,37.74664966,122.4758059
3389,37.74648804,122.4760165
3390,37.73441,122.4752317
3391,37.73488965,122.4750239
3392,37.74528073,122.4757179
3393,37.74507041,122.4759169
3394,37.7432801,122.4755584
3395,37.74331417,122.4758139
3396,37.74151101,122.4754729
3397,37.74130273,122.4756794
3398,37.73917618,122.4753197
3399,37.73902907,122.4755373
3400,37.73757927,122.4754426
3401,37.73737395,122.4752027
3402,37.72717517,122.4747216
3404,37.73047514,122.4758443
3405,37.73030294,122.4760124
3406,37.72888543,122.4758197
3408,37.72685875,122.476248
3409,37.72636824,122.4761224
3410,37.76053065,122.3891887
3411,37.76032595,122.3882588
3412,37.75992265,122.398081
3413,37.75988661,122.3983641
3414,37.7576337,122.4359022
3415,37.7574813,122.4377959
3424,37.75527842,122.4390749
3425,37.76365647,122.4803339
3426,37.76143071,122.4802029
3427,37.7596386,122.4800505
3428,37.75769541,122.4799472
3429,37.76518282,122.4804531
3430,37.75586447,122.479818
3431,37.75436412,122.4796911
3432,37.75795598,122.3883151
3435,37.7579978,122.392088
3436,37.75786051,122.390221
3437,37.75783671,122.3900749
3439,37.75753284,122.3927889
3441,37.76313214,122.4814391
3442,37.76164265,122.4813184
3443,37.75977949,122.4811834
3444,37.75791459,122.481058
3445,37.76490357,122.4813956
3446,37.75604898,122.4809309
3447,37.75421724,122.4808287
3448,37.75255391,122.4365759
3449,37.7527763,122.4373624
3450,37.75450541,122.4026964
3452,37.75444467,122.401756
